date_year,date_month,date_day,latitude,longitude,country_region,province_state,confirmed_diff,deaths_diff,recovered_diff
2021,5,8,50.4496,5.8492,Belgium,Liege,347,0,0
2021,5,8,50.0547,5.4677,Belgium,Luxembourg,101,0,0
2021,5,8,50.331,4.8221,Belgium,Namur,153,0,0
2021,5,8,50.5257,4.0621,Belgium,Hainaut,502,0,0
2021,5,8,51.0362,3.7373,Belgium,East Flanders,368,0,0
2021,5,8,50.8503,4.3517,Belgium,Brussels,364,0,0
2021,5,8,,,Belgium,Unknown,69,28,0
2021,5,8,51.0536,3.1458,Belgium,West Flanders,313,0,0
2021,5,8,51.2195,4.4024,Belgium,Antwerp,487,0,0
2021,5,8,50.9739,5.3420000000000005,Belgium,Limburg,278,0,0
2021,5,8,50.4,4.35,Belgium,Walloon Brabant,127,0,0
2021,5,8,50.9167,4.5833,Belgium,Flemish Brabant,255,0,0
2021,5,9,50.5257,4.0621,Belgium,Hainaut,331,0,0
2021,5,9,50.4,4.35,Belgium,Walloon Brabant,77,0,0
2021,5,9,51.0362,3.7373,Belgium,East Flanders,267,0,0
2021,5,9,50.8503,4.3517,Belgium,Brussels,227,0,0
2021,5,9,,,Belgium,Unknown,52,40,0
2021,5,9,50.4496,5.8492,Belgium,Liege,225,0,0
2021,5,9,50.0547,5.4677,Belgium,Luxembourg,58,0,0
2021,5,9,50.9739,5.3420000000000005,Belgium,Limburg,182,0,0
2021,5,9,51.0536,3.1458,Belgium,West Flanders,201,0,0
2021,5,9,51.2195,4.4024,Belgium,Antwerp,428,0,0
2021,5,9,50.331,4.8221,Belgium,Namur,39,0,0
2021,5,9,50.9167,4.5833,Belgium,Flemish Brabant,171,0,0
2021,5,10,50.0547,5.4677,Belgium,Luxembourg,36,0,0
2021,5,10,50.8503,4.3517,Belgium,Brussels,150,0,0
2021,5,10,50.4496,5.8492,Belgium,Liege,44,0,0
2021,5,10,51.2195,4.4024,Belgium,Antwerp,273,0,0
2021,5,10,,,Belgium,Unknown,27,32,0
2021,5,10,50.9167,4.5833,Belgium,Flemish Brabant,84,0,0
2021,5,10,50.331,4.8221,Belgium,Namur,18,0,0
2021,5,10,50.5257,4.0621,Belgium,Hainaut,172,0,0
2021,5,10,51.0536,3.1458,Belgium,West Flanders,155,0,0
2021,5,10,51.0362,3.7373,Belgium,East Flanders,141,0,0
2021,5,10,50.9739,5.3420000000000005,Belgium,Limburg,117,0,0
2021,5,10,50.4,4.35,Belgium,Walloon Brabant,50,0,0
2021,5,11,50.9739,5.3420000000000005,Belgium,Limburg,182,0,0
2021,5,11,50.0547,5.4677,Belgium,Luxembourg,75,0,0
2021,5,11,50.8503,4.3517,Belgium,Brussels,205,0,0
2021,5,11,51.0362,3.7373,Belgium,East Flanders,222,0,0
2021,5,11,50.9167,4.5833,Belgium,Flemish Brabant,161,0,0
2021,5,11,50.5257,4.0621,Belgium,Hainaut,349,0,0
2021,5,11,51.2195,4.4024,Belgium,Antwerp,299,0,0
2021,5,11,50.4,4.35,Belgium,Walloon Brabant,91,0,0
2021,5,11,,,Belgium,Unknown,36,26,0
2021,5,11,50.4496,5.8492,Belgium,Liege,298,0,0
2021,5,11,50.331,4.8221,Belgium,Namur,315,0,0
2021,5,11,51.0536,3.1458,Belgium,West Flanders,223,0,0
2021,5,12,51.2195,4.4024,Belgium,Antwerp,563,0,0
2021,5,12,51.0362,3.7373,Belgium,East Flanders,397,0,0
2021,5,12,50.9167,4.5833,Belgium,Flemish Brabant,216,0,0
2021,5,12,51.0536,3.1458,Belgium,West Flanders,343,0,0
2021,5,12,50.4496,5.8492,Belgium,Liege,294,0,0
2021,5,12,50.4,4.35,Belgium,Walloon Brabant,142,0,0
2021,5,12,,,Belgium,Unknown,51,21,0
2021,5,12,50.8503,4.3517,Belgium,Brussels,278,0,0
2021,5,12,50.0547,5.4677,Belgium,Luxembourg,91,0,0
2021,5,12,50.9739,5.3420000000000005,Belgium,Limburg,230,0,0
2021,5,12,50.5257,4.0621,Belgium,Hainaut,492,0,0
2021,5,12,50.331,4.8221,Belgium,Namur,154,0,0
2021,5,13,50.331,4.8221,Belgium,Namur,152,0,0
2021,5,13,50.9167,4.5833,Belgium,Flemish Brabant,201,0,0
2021,5,13,50.8503,4.3517,Belgium,Brussels,272,0,0
2021,5,13,51.0362,3.7373,Belgium,East Flanders,328,0,0
2021,5,13,50.0547,5.4677,Belgium,Luxembourg,86,0,0
2021,5,13,51.0536,3.1458,Belgium,West Flanders,222,0,0
2021,5,13,50.4,4.35,Belgium,Walloon Brabant,113,0,0
2021,5,13,50.5257,4.0621,Belgium,Hainaut,484,0,0
2021,5,13,51.2195,4.4024,Belgium,Antwerp,463,0,0
2021,5,13,,,Belgium,Unknown,40,15,0
2021,5,13,50.9739,5.3420000000000005,Belgium,Limburg,195,0,0
2021,5,13,50.4496,5.8492,Belgium,Liege,334,0,0
2021,5,14,,,Belgium,Unknown,22,19,0
2021,5,14,50.0547,5.4677,Belgium,Luxembourg,35,0,0
2021,5,14,50.4,4.35,Belgium,Walloon Brabant,84,0,0
2021,5,14,51.2195,4.4024,Belgium,Antwerp,353,0,0
2021,5,14,50.331,4.8221,Belgium,Namur,48,0,0
2021,5,14,50.9739,5.3420000000000005,Belgium,Limburg,122,0,0
2021,5,14,50.5257,4.0621,Belgium,Hainaut,227,0,0
2021,5,14,50.8503,4.3517,Belgium,Brussels,222,0,0
2021,5,14,50.9167,4.5833,Belgium,Flemish Brabant,130,0,0
2021,5,14,51.0362,3.7373,Belgium,East Flanders,162,0,0
2021,5,14,50.4496,5.8492,Belgium,Liege,92,0,0
2021,5,14,51.0536,3.1458,Belgium,West Flanders,134,0,0
2021,5,15,,,Belgium,Unknown,30,22,0
2021,5,15,50.4,4.35,Belgium,Walloon Brabant,99,0,0
2021,5,15,50.9739,5.3420000000000005,Belgium,Limburg,134,0,0
2021,5,15,51.0536,3.1458,Belgium,West Flanders,163,0,0
2021,5,15,51.0362,3.7373,Belgium,East Flanders,242,0,0
2021,5,15,50.9167,4.5833,Belgium,Flemish Brabant,143,0,0
2021,5,15,50.5257,4.0621,Belgium,Hainaut,284,0,0
2021,5,15,50.331,4.8221,Belgium,Namur,120,0,0
2021,5,15,50.8503,4.3517,Belgium,Brussels,190,0,0
2021,5,15,51.2195,4.4024,Belgium,Antwerp,262,0,0
2021,5,15,50.0547,5.4677,Belgium,Luxembourg,72,0,0
2021,5,15,50.4496,5.8492,Belgium,Liege,228,0,0
2021,5,16,51.0362,3.7373,Belgium,East Flanders,242,0,0
2021,5,16,50.4496,5.8492,Belgium,Liege,203,0,0
2021,5,16,50.5257,4.0621,Belgium,Hainaut,268,0,0
2021,5,16,51.0536,3.1458,Belgium,West Flanders,178,0,0
2021,5,16,50.331,4.8221,Belgium,Namur,83,0,0
2021,5,16,50.4,4.35,Belgium,Walloon Brabant,60,0,0
2021,5,16,50.9167,4.5833,Belgium,Flemish Brabant,130,0,0
2021,5,16,50.9739,5.3420000000000005,Belgium,Limburg,105,0,0
2021,5,16,51.2195,4.4024,Belgium,Antwerp,308,0,0
2021,5,16,50.8503,4.3517,Belgium,Brussels,209,0,0
2021,5,16,,,Belgium,Unknown,27,23,0
2021,5,16,50.0547,5.4677,Belgium,Luxembourg,39,0,0
2021,5,17,50.4496,5.8492,Belgium,Liege,41,0,0
2021,5,17,50.8503,4.3517,Belgium,Brussels,176,0,0
2021,5,17,51.0536,3.1458,Belgium,West Flanders,89,0,0
2021,5,17,,,Belgium,Unknown,23,14,0
2021,5,17,51.0362,3.7373,Belgium,East Flanders,101,0,0
2021,5,17,50.5257,4.0621,Belgium,Hainaut,91,0,0
2021,5,17,50.0547,5.4677,Belgium,Luxembourg,38,0,0
2021,5,17,50.331,4.8221,Belgium,Namur,38,0,0
2021,5,17,50.9167,4.5833,Belgium,Flemish Brabant,64,0,0
2021,5,17,51.2195,4.4024,Belgium,Antwerp,199,0,0
2021,5,17,50.9739,5.3420000000000005,Belgium,Limburg,70,0,0
2021,5,17,50.4,4.35,Belgium,Walloon Brabant,42,0,0
2021,5,18,50.4,4.35,Belgium,Walloon Brabant,59,0,0
2021,5,18,50.4496,5.8492,Belgium,Liege,209,0,0
2021,5,18,50.0547,5.4677,Belgium,Luxembourg,79,0,0
2021,5,18,51.0536,3.1458,Belgium,West Flanders,205,0,0
2021,5,18,50.9739,5.3420000000000005,Belgium,Limburg,135,0,0
2021,5,18,51.0362,3.7373,Belgium,East Flanders,195,0,0
2021,5,18,50.8503,4.3517,Belgium,Brussels,194,0,0
2021,5,18,50.5257,4.0621,Belgium,Hainaut,241,0,0
2021,5,18,,,Belgium,Unknown,31,26,0
2021,5,18,51.2195,4.4024,Belgium,Antwerp,275,0,0
2021,5,18,50.331,4.8221,Belgium,Namur,78,0,0
2021,5,18,50.9167,4.5833,Belgium,Flemish Brabant,118,0,0
2021,5,19,50.8503,4.3517,Belgium,Brussels,346,0,0
2021,5,19,,,Belgium,Unknown,70,19,0
2021,5,19,51.0362,3.7373,Belgium,East Flanders,425,0,0
2021,5,19,51.2195,4.4024,Belgium,Antwerp,582,0,0
2021,5,19,50.4,4.35,Belgium,Walloon Brabant,170,0,0
2021,5,19,50.9739,5.3420000000000005,Belgium,Limburg,335,0,0
2021,5,19,51.0536,3.1458,Belgium,West Flanders,374,0,0
2021,5,19,50.0547,5.4677,Belgium,Luxembourg,103,0,0
2021,5,19,50.5257,4.0621,Belgium,Hainaut,525,0,0
2021,5,19,50.331,4.8221,Belgium,Namur,157,0,0
2021,5,19,50.4496,5.8492,Belgium,Liege,428,0,0
2021,5,19,50.9167,4.5833,Belgium,Flemish Brabant,285,0,0
2021,5,20,50.5257,4.0621,Belgium,Hainaut,527,0,0
2021,5,20,50.9739,5.3420000000000005,Belgium,Limburg,218,0,0
2021,5,20,51.0536,3.1458,Belgium,West Flanders,289,0,0
2021,5,20,50.4496,5.8492,Belgium,Liege,276,0,0
